english_sentence,source_name
Tuesday Nights in 1980,Books to Scrape
Tracing Numbers on a Train,Books to Scrape
Throne of Glass Throne of Glass 1,Books to Scrape
Thomas Jefferson and the Tripoli Pirates: The Forgotten War That Changed American History,Books to Scrape
The White Cat and the Monk: A Retelling of the Poem Pangur Bn,Books to Scrape
The Third Wave: An Entrepreneurs Vision of the Future,Books to Scrape
The Shadow Hero The Shadow Hero,Books to Scrape
The Secret The Secret 1,Books to Scrape
The Regional Office Is Under Attack!,Books to Scrape
The Psychopath Test: A Journey Through the Madness Industry,Books to Scrape
The Power of Now: A Guide to Spiritual Enlightenment,Books to Scrape
The Omnivore's Dilemma: A Natural History of Four Meals,Books to Scrape
The Nerdy Nummies Cookbook: Sweet Treats for the Geek in All of Us,Books to Scrape
The Murder of Roger Ackroyd Hercule Poirot 4,Books to Scrape
The Mistake OffCampus 2,Books to Scrape
The Matchmaker's Playbook Wingmen Inc. 1,Books to Scrape
The Love and Lemons Cookbook: An AppletoZucchini Celebration of Impromptu Cooking,Books to Scrape
The Long Shadow of Small Ghosts: Murder and Memory in an American City,Books to Scrape
The House by the Lake,Books to Scrape
The Glittering Court The Glittering Court 1,Books to Scrape
The Girl on the Train,Books to Scrape
The Genius of Birds,Books to Scrape
The Cookies Cups Cookbook: 125 sweet savory recipes reminding you to Always Eat Dessert First,Books to Scrape
The Bridge to Consciousness: I'm Writing the Bridge Between Science and Our Old and New Beliefs.,Books to Scrape
The Artist's Way: A Spiritual Path to Higher Creativity,Books to Scrape
The Art of War,Books to Scrape
The 10 Entrepreneur: Live Your Startup Dream Without Quitting Your Day Job,Books to Scrape
Suddenly in Love Lake Haven 1,Books to Scrape
Something More Than This,Books to Scrape
So You've Been Publicly Shamed,Books to Scrape
Shoe Dog: A Memoir by the Creator of NIKE,Books to Scrape
"Shobu Samurai, Project Aryoku 3",Books to Scrape
Secrets and Lace Fatal Hearts 1,Books to Scrape
Scarlett Epstein Hates It Here,Books to Scrape
Romero and Juliet: A Tragic Tale of Love and Zombies,Books to Scrape
Poses for Artists Volume 1 Dynamic and Sitting Poses: An Essential Reference for Figure Drawing and the Human Form,Books to Scrape
Poems That Make Grown Women Cry,Books to Scrape
Night Sky with Exit Wounds,Books to Scrape
Miss Peregrines Home for Peculiar Children Miss Peregrines Peculiar Children 1,Books to Scrape
Louisa: The Extraordinary Life of Mrs. Adams,Books to Scrape
Library of Souls Miss Peregrines Peculiar Children 3,Books to Scrape
Large Print Heart of the Pride,Books to Scrape
I Had a Nice Time And Other Lies...: How to find love sht like that,Books to Scrape
Hollow City Miss Peregrines Peculiar Children 2,Books to Scrape
Full Moon over Noahs Ark: An Odyssey to Mount Ararat and Beyond,Books to Scrape
Frostbite Vampire Academy 2,Books to Scrape
First Steps for New Christians Print Edition,Books to Scrape
Finders Keepers Bill Hodges Trilogy 2,Books to Scrape
"Fables, Vol. 1: Legends in Exile Fables 1",Books to Scrape
Drive: The Surprising Truth About What Motivates Us,Books to Scrape
Done Rubbed Out Reightman Bailey 1,Books to Scrape
Doing It Over Most Likely To 1,Books to Scrape
"Deliciously Ella Every Day: Quick and Easy Recipes for GlutenFree Snacks, Packed Lunches, and Simple Meals",Books to Scrape
"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",Books to Scrape
Chasing Heaven: What Dying Taught Me About Living,Books to Scrape
Big Magic: Creative Living Beyond Fear,Books to Scrape
Becoming Wise: An Inquiry into the Mystery and Art of Living,Books to Scrape
Beauty Restored Riley Family Legacy Novellas 3,Books to Scrape
Batman: The Long Halloween Batman,Books to Scrape
Batman: The Dark Knight Returns Batman,Books to Scrape
Amy Meets the Saints and Sages,Books to Scrape
Agnostic: A Spirited Manifesto,Books to Scrape
Zealot: The Life and Times of Jesus of Nazareth,Books to Scrape
"Wonder Woman: Earth One, Volume One Wonder Woman: Earth One 1",Books to Scrape
Why the Right Went Wrong: ConservatismFrom Goldwater to the Tea Party and Beyond,Books to Scrape
Whole Lotta Creativity Going On: 60 Fun and Unusual Exercises to Awaken and Strengthen Your Creativity,Books to Scrape
What's It Like in Space?: Stories from Astronauts Who've Been There,Books to Scrape
"We Are Robin, Vol. 1: The Vigilante Business We Are Robin 1",Books to Scrape
Walt Disney's Alice in Wonderland,Books to Scrape
V for Vendetta V for Vendetta Complete,Books to Scrape
Until Friday Night The Field Party 1,Books to Scrape
"Unbroken: A World War II Story of Survival, Resilience, and Redemption",Books to Scrape
This Is Where It Ends,Books to Scrape
The Year of Magical Thinking,Books to Scrape
The White Queen The Cousins' War 1,Books to Scrape
The Wedding Pact The O'Malleys 2,Books to Scrape
The Testament of Mary,Books to Scrape
The Songs of the Gods,Books to Scrape
The Song of Achilles,Books to Scrape
The Rosie Project Don Tillman 1,Books to Scrape
The Power of Habit: Why We Do What We Do in Life and Business,Books to Scrape
The Marriage of Opposites,Books to Scrape
The Lucifer Effect: Understanding How Good People Turn Evil,Books to Scrape
The Long Haul Diary of a Wimpy Kid 9,Books to Scrape
The Literature Book Big Ideas Simply Explained,Books to Scrape
The Last Mile Amos Decker 2,Books to Scrape
The Immortal Life of Henrietta Lacks,Books to Scrape
The Hidden Oracle The Trials of Apollo 1,Books to Scrape
The Help Yourself Cookbook for Kids: 60 Easy PlantBased Recipes Kids Can Make to Stay Healthy and Save the Earth,Books to Scrape
The Guilty Will Robie 4,Books to Scrape
The First Hostage J.B. Collins 2,Books to Scrape
The Bane Chronicles The Bane Chronicles 111,Books to Scrape
The BadAss Librarians of Timbuktu: And Their Race to Save the Worlds Most Precious Manuscripts,Books to Scrape
The 14th Colony Cotton Malone 11,Books to Scrape
That Darkness Gardiner and Renner 1,Books to Scrape
Tastes Like Fear DI Marnie Rome 3,Books to Scrape
Take Me with You,Books to Scrape
Swell: A Year of Waves,Books to Scrape
Superman Vol. 1: Before Truth Superman by Gene Luen Yang 1,Books to Scrape
Still Life with Bread Crumbs,Books to Scrape
Sorting the Beef from the Bull: The Science of Food Fraud Forensics,Books to Scrape
Someone Like You The Harrisons 2,Books to Scrape
"So Cute It Hurts!!, Vol. 6 So Cute It Hurts!! 6",Books to Scrape
See America: A Celebration of Our National Parks Treasured Sites,Books to Scrape
"Red HoodArsenal, Vol. 1: Open for Business Red HoodArsenal 1",Books to Scrape
"Quarter Life Poetry: Poems for the Young, Broke and Hangry",Books to Scrape
"Overload: How to Unplug, Unwind, and Unleash Yourself from the Pressure of Stress",Books to Scrape
Once Was a Time,Books to Scrape
Old School Diary of a Wimpy Kid 10,Books to Scrape
No Dream Is Too High: Life Lessons From a Man Who Walked on the Moon,Books to Scrape
"Naruto 3in1 Edition, Vol. 14: Includes Vols. 40, 41 42 Naruto: Omnibus 14",Books to Scrape
My Name Is Lucy Barton,Books to Scrape
My Kind of Crazy,Books to Scrape
Mr. Mercedes Bill Hodges Trilogy 1,Books to Scrape
More Than Music Chasing the Dream 1,Books to Scrape
Made to Stick: Why Some Ideas Survive and Others Die,Books to Scrape
Luis Paints the World,Books to Scrape
Lowriders to the Center of the Earth Lowriders in Space 2,Books to Scrape
Love Is a Mix Tape Music 1,Books to Scrape
Looking for Lovely: Collecting the Moments that Matter,Books to Scrape
"Living Leadership by Insight: A Good Leader Achieves, a Great Leader Builds Monuments",Books to Scrape
Let It Out: A Journey Through Journaling,Books to Scrape
Lady Midnight The Dark Artifices 1,Books to Scrape
"It's All Easy: Healthy, Delicious Weeknight Meals in under 30 Minutes",Books to Scrape
Island of Dragons Unwanteds 7,Books to Scrape
I Know What I'm Doing and Other Lies I Tell Myself: Dispatches from a Life Under Construction,Books to Scrape
I Am Pilgrim Pilgrim 1,Books to Scrape
"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",Books to Scrape
"Hush, Hush Hush, Hush 1",Books to Scrape
Hold Your Breath Search and Rescue 1,Books to Scrape
God: The Most Unpleasant Character in All Fiction,Books to Scrape
Glory over Everything: Beyond The Kitchen House,Books to Scrape
Feathers: Displays of Brilliant Plumage,Books to Scrape
"Far Away: Places on the Brink of Change: Seven Continents, TwentyFive Years",Books to Scrape
Eligible The Austen Project 4,Books to Scrape
"Eaternity: More than 150 Deliciously Easy Vegan Recipes for a Long, Healthy, Satisfied, Joyful Life",Books to Scrape
"Eat Fat, Get Thin",Books to Scrape
Doctor Sleep The Shining 2,Books to Scrape
Demigods Magicians: Percy and Annabeth Meet the Kanes Percy Jackson Kane Chronicles Crossover 13,Books to Scrape
Crazy Love: Overwhelmed by a Relentless God,Books to Scrape
Cometh the Hour The Clifton Chronicles 6,Books to Scrape
Code Name Verity Code Name Verity 1,Books to Scrape
Clockwork Angel The Infernal Devices 1,Books to Scrape
City of Glass The Mortal Instruments 3,Books to Scrape
City of Fallen Angels The Mortal Instruments 4,Books to Scrape
City of Bones The Mortal Instruments 1,Books to Scrape
City of Ashes The Mortal Instruments 2,Books to Scrape
Catching Jordan Hundred Oaks,Books to Scrape
"Carry On, Warrior: Thoughts on Life Unarmed",Books to Scrape
Buying In: The Secret Dialogue Between What We Buy and Who We Are,Books to Scrape
Brain on Fire: My Month of Madness,Books to Scrape
Barefoot Contessa Back to Basics,Books to Scrape
Barefoot Contessa at Home: Everyday Recipes You'll Make Over and Over Again,Books to Scrape
Art Ops Vol. 1,Books to Scrape
Aristotle and Dante Discover the Secrets of the Universe Aristotle and Dante Discover the Secrets of the Universe 1,Books to Scrape
Angels Walking Angels Walking 1,Books to Scrape
Angels Demons Robert Langdon 1,Books to Scrape
All the Light We Cannot See,Books to Scrape
"Adulthood Is a Myth: A ""Sarah's Scribbles"" Collection",Books to Scrape
A Time of Torment Charlie Parker 14,Books to Scrape
A Study in Scarlet Sherlock Holmes 1,Books to Scrape
"A Series of Catastrophes and Miracles: A True Story of Love, Science, and Cancer",Books to Scrape
A People's History of the United States,Books to Scrape
A Man Called Ove,Books to Scrape
A Distant Mirror: The Calamitous 14th Century,Books to Scrape
A Brush of Wings Angels Walking 3,Books to Scrape
1491: New Revelations of the Americas Before Columbus,Books to Scrape
"The Three Searches, Meaning, and the Story",Books to Scrape
Searching for Meaning in Gailana,Books to Scrape
My Kitchen Year: 136 Recipes That Saved My Life,Books to Scrape
13 Hours: The Inside Account of What Really Happened In Benghazi,Books to Scrape
Will You Won't You Want Me?,Books to Scrape
Tipping Point for Planet Earth: How Close Are We to the Edge?,Books to Scrape
The Silent Sister Riley MacPherson 1,Books to Scrape
The Midnight Watch: A Novel of the Titanic and the Californian,Books to Scrape
The Lonely City: Adventures in the Art of Being Alone,Books to Scrape
The Gray Rhino: How to Recognize and Act on the Obvious Dangers We Ignore,Books to Scrape
The Golden Condom: And Other Essays on Love Lost and Found,Books to Scrape
The Epidemic The Program 0.6,Books to Scrape
The Diary of a Young Girl,Books to Scrape
Stars Above The Lunar Chronicles 4.5,Books to Scrape
Snatched: How A Drug Queen Went Undercover for the DEA and Was Kidnapped By Colombian Guerillas,Books to Scrape
Raspberry Pi Electronics Projects for the Evil Genius,Books to Scrape
Quench Your Own Thirst: Business Lessons Learned Over a Beer or Two,Books to Scrape
Psycho: Sanitarium Psycho 1.5,Books to Scrape
Poisonous Max Revere Novels 3,Books to Scrape
One with You Crossfire 5,Books to Scrape
No Love Allowed Dodge Cove 1,Books to Scrape
Murder at the 42nd Street Library Raymond Ambler 1,Books to Scrape
"Love, Lies and Spies",Books to Scrape
How to Speak Golf: An Illustrated Guide to Links Lingo,Books to Scrape
Hide Away Eve Duncan 20,Books to Scrape
Furiously Happy: A Funny Book About Horrible Things,Books to Scrape
Everyday Italian: 125 Simple and Delicious Recipes,Books to Scrape
Equal Is Unfair: America's Misguided Fight Against Income Inequality,Books to Scrape
Dirty Dive Bar 1,Books to Scrape
Can You Keep a Secret? Fear Street Relaunch 4,Books to Scrape
Boar Island Anna Pigeon 19,Books to Scrape
"A la Mode: 120 Recipes in 60 Pairings: Pies, Tarts, Cakes, Crisps, and More Topped with Ice Cream, Gelato, Frozen Custard, and More",Books to Scrape
Troublemaker: Surviving Hollywood and Scientology,Books to Scrape
"The Sleep Revolution: Transforming Your Life, One Night at a Time",Books to Scrape
The Improbability of Love,Books to Scrape
The Art of Startup Fundraising,Books to Scrape
Take Me Home Tonight Rock Star Romance 3,Books to Scrape
Sleeping Giants Themis Files 1,Books to Scrape
"Setting the World on Fire: The Brief, Astonishing Life of St. Catherine of Siena",Books to Scrape
Off the Hook Fishing for Trouble 1,Books to Scrape
"Mother, Can You Not?",Books to Scrape
Lies and Other Acts of Love,Books to Scrape
It Didn't Start with You: How Inherited Family Trauma Shapes Who We Are and How to End the Cycle,Books to Scrape
Grey Fifty Shades 4,Books to Scrape
"Exit, Pursued by a Bear",Books to Scrape
Cravings: Recipes for What You Want to Eat,Books to Scrape
Born for This: How to Find the Work You Were Meant to Do,Books to Scrape
A Mother's Reckoning: Living in the Aftermath of Tragedy,Books to Scrape
A Gentleman's Position Society of Gentlemen 3,Books to Scrape
"10 Happier: How I Tamed the Voice in My Head, Reduced Stress Without Losing My Edge, and Found SelfHelp That Actually Works",Books to Scrape
10Day Green Smoothie Cleanse: Lose Up to 15 Pounds in 10 Days!,Books to Scrape
The New Brand You: Your New Image Makes the Sale for You,Books to Scrape
"The Moosewood Cookbook: Recipes from Moosewood Restaurant, Ithaca, New York",Books to Scrape
"The Fabric of the Cosmos: Space, Time, and the Texture of Reality",Books to Scrape
The Book of Mormon,Books to Scrape
The Art and Science of Low Carbohydrate Living,Books to Scrape
Suzie Snowflake: One beautiful flake a selfesteem story,Books to Scrape
"NaNo What Now? Finding your editing process, revising your NaNoWriMo book and building a writing career through publishing and beyond",Books to Scrape
If I Gave You God's Phone Number....: Searching for Spirituality in America,Books to Scrape
"Fruits Basket, Vol. 9 Fruits Basket 9",Books to Scrape
Dress Your Family in Corduroy and Denim,Books to Scrape
Chernobyl 01:23:40: The Incredible True Story of the World's Worst Nuclear Disaster,Books to Scrape
Art and Fear: Observations on the Perils and Rewards of Artmaking,Books to Scrape
A Shard of Ice The Black Symphony Saga 1,Books to Scrape
A Hero's Curse The Unseen Chronicles 1,Books to Scrape
23 Degrees South: A Tropical Tale of Changing Whether...,Books to Scrape
"Zero to One: Notes on Startups, or How to Build the Future",Books to Scrape
When Breath Becomes Air,Books to Scrape
Vagabonding: An Uncommon Guide to the Art of LongTerm World Travel,Books to Scrape
The Unlikely Pilgrimage of Harold Fry Harold Fry 1,Books to Scrape
The New Drawing on the Right Side of the Brain,Books to Scrape
"The Midnight Assassin: Panic, Scandal, and the Hunt for America's First Serial Killer",Books to Scrape
The Martian The Martian 1,Books to Scrape
The High Mountains of Portugal,Books to Scrape
